dimatrix;nbytes;rtt;worker
300;720000;0.064283;2
300;720000;0.094925;2
300;720000;0.077864;2
300;720000;0.065904;2
300;720000;0.063823;2
300;720000;0.091056;2
300;720000;0.066119;2
300;720000;0.06387;2
300;720000;0.062993;2
300;720000;0.0725;2
300;720000;0.071544;2
300;720000;0.066594;2
300;720000;0.063664;2
300;720000;0.064937;2
300;720000;0.060505;2
300;720000;0.075856;2
300;720000;0.062226;2
300;720000;0.060458;2
300;720000;0.064203;2
300;720000;0.069195;2
300;720000;0.068074;2
300;720000;0.084419;2
300;720000;0.080291;2
300;720000;0.065964;2
300;720000;0.063372;2
300;720000;0.064884;2
300;720000;0.068871;2
300;720000;0.059238;2
300;720000;0.066241;2
300;720000;0.077479;3
300;720000;0.068103;3
300;720000;0.101484;3
300;720000;0.068527;3
300;720000;0.07733;3
300;720000;0.069857;3
300;720000;0.080136;3
300;720000;0.069043;3
300;720000;0.077125;3
300;720000;0.071025;3
300;720000;0.083061;3
300;720000;0.065469;3
300;720000;0.079908;3
300;720000;0.066341;3
300;720000;0.067592;3
300;720000;0.072216;3
300;720000;0.064496;3
300;720000;0.065031;3
300;720000;0.065853;3
300;720000;0.074982;3
300;720000;0.064139;3
300;720000;0.079835;3
300;720000;0.066271;3
300;720000;0.070464;3
300;720000;0.07507;3
300;720000;0.062673;3
300;720000;0.067264;3
300;720000;0.06214;3
300;720000;0.066869;3
300;720000;0.080664;3
300;720000;0.079455;3
300;720000;0.062802;3
300;720000;0.066817;3
300;720000;0.064491;3
300;720000;0.074723;3
300;720000;0.068535;3
300;720000;0.064619;3
300;720000;0.065775;3
300;720000;0.068047;3
300;720000;0.076762;3
300;720000;0.065795;3
300;720000;0.077453;3
300;720000;0.07718;3
300;720000;0.067853;3
300;720000;0.066252;3
300;720000;0.066094;3
300;720000;0.065834;3
300;720000;0.064799;3
300;720000;0.061;3
300;720000;0.070826;3
300;720000;0.067228;3
300;720000;0.065172;3
300;720000;0.084429;3
300;720000;0.066846;3
300;720000;0.07266;3
300;720000;0.066695;3
